prompt,completion,train
In which year was the 1930 FIFA Men's World Cup held?,The 1930 FIFA Men's World Cup tournament was held in the year 1930.,train
Which country hosted the 1930 FIFA Men's World Cup tournament in 1930?,The host country of the 1930 FIFA Men's World Cup tournament in 1930 was Uruguay.,train
When did the 1930 FIFA Men's World Cup tournament start?,The 1930 FIFA Men's World Cup tournament started on 1930-07-13.,train
When did the 1930 FIFA Men's World Cup tournament end?,The 1930 FIFA Men's World Cup tournament ended on 1930-07-30.,train
Which team won the 1930 FIFA Men's World Cup tournament in 1930?,The team that won the 1930 FIFA Men's World Cup tournament in 1930 was Uruguay.,train
Did the host country win the 1930 FIFA Men's World Cup tournament in 1930?,"Yes, the host country won the 1930 FIFA Men's World Cup tournament in 1930.",train
How many teams participated in the 1930 FIFA Men's World Cup tournament in 1930?,The number of teams that participated in the 1930 FIFA Men's World Cup tournament was 13.,train
Was there a group stage in the 1930 FIFA Men's World Cup tournament of 1930?,"Yes, there was a group stage in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a second group stage in the 1930 FIFA Men's World Cup tournament of 1930?,"No, there was not a second group stage in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a final round in the 1930 FIFA Men's World Cup tournament of 1930?,"No, there was not a final round in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a round of 16 stage in the 1930 FIFA Men's World Cup tournament of 1930?,"No, there was not a round of 16 stage in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a quarter-finals stage in the 1930 FIFA Men's World Cup tournament of 1930?,"No, there was not a quarter-finals stage in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a semi-finals stage in the 1930 FIFA Men's World Cup tournament of 1930?,"Yes, there was a semi-finals stage in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a third-place match in the 1930 FIFA Men's World Cup tournament of 1930?,"No, there was not a third-place match in the 1930 FIFA Men's World Cup tournament of 1930.",train
Was there a final match in the 1930 FIFA Men's World Cup tournament of 1930?,"Yes, there was a final match in the 1930 FIFA Men's World Cup tournament of 1930.",train
In which year was the 1934 FIFA Men's World Cup held?,The 1934 FIFA Men's World Cup tournament was held in the year 1934.,train
Which country hosted the 1934 FIFA Men's World Cup tournament in 1934?,The host country of the 1934 FIFA Men's World Cup tournament in 1934 was Italy.,train
When did the 1934 FIFA Men's World Cup tournament start?,The 1934 FIFA Men's World Cup tournament started on 1934-05-27.,train
When did the 1934 FIFA Men's World Cup tournament end?,The 1934 FIFA Men's World Cup tournament ended on 1934-06-10.,train
